,question,date
0,"Given an array of numbers, replace each number with the product of all the numbers in the array except the number itself *without* using division.","September 6, 2010"
1,How many hours would you ideally want to work?,"June 27, 2012"
2,How would you make people in the community feel engaged?,"September 24, 2016"
3,What communities do you manage?,"March 14, 2019"
4,What angle is between an hour and a minute arrows when time is 5:30?,"April 20, 2012"
5,"assume you are writing number in ascending order to an array of constant size. once you reach the end of the array, you start writing from the beginning, thus writing over the oldest entries. write an algorithm for finding a specific number in this array.","March 12, 2010"
6,Same as above but another one is taken out again. Find the two missing nubmers,"December 21, 2011"
7,Write a function to get maximum consecutive sum of integers from an array.,"March 23, 2012"
8,Quickly estimate 2^64 without using a pen/papar.,"June 25, 2011"
9,Implement a class that can calculate the running average of a stream of input numbers up to a maximum of N numbers.,"March 7, 2015"
10,How do you code integer division without using divider ('/'),"March 19, 2009"
11,"1. 100 students, make survey cheat/not cheat, student toss a coin, if head, tell truth, if tail, toss again, if Head then yes, if tail then no. 30 students answer yes, Q: how many student cheated? 2. Given an array, use bootstrap method to get the var of mean (I used R). 3. Can you write 2 in one line within function? ( so use apply() )","April 19, 2016"
12,"How to calculate row product of a matrix, use a language you're familiar with.","July 2, 2016"
13,"Given a string, find the longest substring T that contains m distinct characters. (need O(n) solution)","February 20, 2016"
14,"How would I design the elevators for a new 40 story office building that had an average of 100 people per floor to most efficiently fill and empty the building given a standard 9-5 workday and traffic conditions in my city? The answer needed to be completely detailed, including expected passengers per car, time per stop, average floors stops per trip at various hours, etc.","July 13, 2012"
15,"Given a stream of integers of unknown (possibly large) length, how would you pick one at random? Now prove its random.","January 24, 2010"
16,"1) Given a string of parantheses, check if the string is valid. ex: [[]] is valid, ][][ is not valid. How would you solve if the parantheses could be of different types like {,[,(","August 17, 2012"
17,Whats is max possible edges in a graph with no cycles.,"March 22, 2010"
18,You have a n number of cities. Lets say city 1 has some information that needs to be sent to all other n-1 cities using minimal cost. Cost between each pair of cities is given. any number of cities can transmit the information once they receive the information but the overall total cost should be minimum,"November 1, 2011"
19,Wie würden Sie eine Reihung von einer Million Zahlen sortieren?,"September 29, 2010"
20,"Given two binary search trees, write function which tells if two such trees are the same – (i.e. same info in the nodes, same branching to left and right at every node).","March 12, 2011"
21,"Find all (english word) substrings of a given string. (every = every, ever, very)","February 22, 2011"
22,"Capitalize 2nd, 4th, 8th, 16th, … letters in a string input : letters in a string output: lEtTers in a stRing","May 19, 2015"
23,"It's the first OA coding sample of Google. The coding question is: Given a zero-indexed array A of N integers, return any of the indexes P of the element, which left sums of its left elements and right elements are equal. Sum of zero element is assumed to be equal to 0. This can happen if P = 0 or if P = N-1.For example, A = {-1, 3, -4, 5, 1, -6, 2, 1}, indexes 1, 3, and 7 are valid outputs.","June 22, 2016"
24,Asked me how I monetized a mobile app which I had supervised. Kept digging on this issue even though I've plainly stated that I couldn't figure out an effective way to monetize a socialization-based mobile app. The flow of the interview got to a snail's pace.,"December 2, 2012"
25,What do you do in your current role How many people do you manage,"March 11, 2020"
26,"* Write a function, preferably in C or C++, to reverse a string.","November 6, 2009"
27,"If you were a platypus stuck in a dumpster and your feet were made out of butter, how would escape?","July 29, 2013"
28,Man bekommt einen binären Suchbaum und soll doppelte Werte finden.,"April 10, 2012"
29,"Imagine that you are a PM at [big software company], and you are assigned to build [business process] software for [small business vertical]. How would you measure success?","January 28, 2015"
30,"If you have a 3 gallon jug and 5 gallon jug, how do you measure 4 gallons?","May 24, 2011"
31,If scientists said that phone batteries could not get any better. What would you do to make a better phone experience?,"June 13, 2014"
32,How many tennis balls fit in Boeing 747?,"July 20, 2010"
33,Finding a pair of elements from two sorted lists for which the sum of the elements is a certain value,"July 26, 2013"
34,Create a cache with fast look up that only stores the N most recently accessed items.,"July 13, 2009"
35,find and output the given number's shortest square sum. like input: 12=2^2+2^2+2^2 (not 3^2+1^2+1^2+1^2) output: {2 2 2},"June 2, 2015"
36,Phone Interview: i) Find the number of inversions in an array (describe & code) ii) Find collinear points in a given set of 2D points (describe & code),"December 24, 2010"
37,What website do you visit the most and what would you do as PM for that website?,"November 1, 2009"
38,Do you want to stay in administration or move to another part of the company,"June 27, 2012"
39,What would you do if your client drops 50% in sales? (Due to recession in the economy),"February 28, 2020"
40,Do you want to stay in administration or move to another part of the company,"June 27, 2012"
41,Write a routine that does secret santa in O(N) time.,"February 28, 2013"
42,You are given a random binary tree 5 / \ 4 9 / \ / \ 3 5 6 8 Write code to print it out in order level ie 5 4 9 3 5 6 8 The tree need not be balanced. Write all the datastructures for the tree and make sure that you print newlines after each level. Also write test cases to test your code.,"June 9, 2011"
43,Qual é o seu produto prefeiro do Google?,"August 12, 2019"
44,How would you derive a confidence interval from a series of coin tosses?,"June 24, 2015"
45,What are three long term challenges facing google?,"May 26, 2009"
46,Write code for Fibonacci algorithm (iterative or recursive) and explain what's the performance.,"March 8, 2011"
47,How would you write a sort routine to ensure that identical elements in the input are maximally spread in the output?,"June 18, 2010"
48,"Implement indexOf() (find the index of the first occurence of given number, in an array of sorted numbers)","April 15, 2015"
49,Write a function in the language of your choice or in pseudocode to determine if a number is a power of five.,"April 17, 2017"
