,question,date
0,"The manager of component 'A' says his functionality is more important than that of component 'B.' The manager of component 'B' says his is more important than that of component 'A.' You can only implement one A or B, but not both - which do you choose to implement.","August 2, 2010"
1,How would you handle the hypothetical situation where one or more designers try to dominate the conversation and do not seem to be listening to other members of the team?,"September 27, 2010"
2,"""Jeff Bezos walks into your office and says you can have a million dollars to launch your best entrepreneurial idea. What is it?""","January 9, 2012"
3,Most of them were expected. Almost all are problem solving questions. 1. Given a BST with following property find the LCA of two given nodes. Property : All children has information about their parents but the parents do not have information about their children nodes. Constraint - no additional space can be used,"December 6, 2012"
4,Are you a positive person?,"December 11, 2017"
5,Traverse nodes in a binary tree,"March 1, 2012"
6,"Behavioral based questions were easy to prepare for. Amazon prefers the STAR (situation, task, action, result) method to answer. Would suggestion preparing for the math flow question. I was asked the following: You have 30 associates who all work an 8 hour day, 5 days a week. 2 need to be in indirect (non-volume producing) roles. Your direct (production) rate is 150 units per hour, but you have two 15-minute breaks during the day. How many units can your department produce in a 40 hour week?","August 19, 2013"
7,"Question from director: ""... four people need to cross a bridge at night, there is only one flash light and only one person can walk on the bridge at a time. How do would you get them all across the bridge?""","September 12, 2012"
8,"This was not unexpected but a bit difficult. How would you represent the ordering of a deck of card if you only have 32bytes to work with. So, he explained that you have 52 objects, there are 52! possible ordering of them. how to encode one of those ordering within 32 bytes?","October 2, 2011"
9,"Given a binary tree with the usual left and right pointers on each node, and additionally a parent pointer, make an algorithm to discover the closest ancestor to 2 nodes on the tree.","January 29, 2012"
10,"Given a (potentially large) array of integers, all but one repeating an even number of times, how would you find the one repeating an odd number of times in an efficient way? eg [1 2 3 3 2 2 1 4 2] should return 4","March 23, 2011"
11,Find the last element of a linked list.,"December 22, 2010"
12,Write an algorithm to see if a tree is a BST.,"November 10, 2011"
13,"What are the first 2 integers that, when added together, equal 10 in a ""very large"" array of unsigned integers?","December 17, 2009"
14,Take two arrays and compare them to find duplicates. Only list each duplicate once.,"February 17, 2016"
15,"i) Given a value v, in a BST find the next value in order.","September 27, 2010"
16,"Implement clearbit(int n, int p) function, p is the position of the bit to be cleared. Example : n is 13, p is 0. Binary representation of n : 1101. You need to clear the pth postion, means 0th position bit needs to be cleared.","April 11, 2011"
17,"Same as mentioned by others in glass door. Be ready with couple of examples for each leadership principle. Metrics, metrics and metrics in each of the examples.","April 12, 2016"
18,easy,"January 21, 2015"
19,How to detect loops in a linked list without using a data structure,"September 1, 2009"
20,Debugging section consists of basic algorithm and data structures while analytical sections consists of analogy based questions.,"December 21, 2016"
21,- Reverse DNS - 3-way handshake - What is NULL (SQL),"October 4, 2015"
22,"Given an infinite stream of numbers, find the top 50 integers. What's the data structure to use, and what's the time complexity.","October 19, 2010"
23,reverse the array of char,"September 10, 2018"
24,Extract the N largest floating point numbers from a large file of floating point numbers.,"May 12, 2010"
25,I was shown three programs. Each solving the same problem and was asked to analyze them and suggest which one is the best and why.,"February 15, 2017"
26,How to write a function to make a biased coin from a fair coin and vice versa,"September 2, 2016"
27,"Give a 2D rectangular array represented as a 1D arrary in row-major form, rotate the array by 90 degrees","October 19, 2011"
28,Write the code for the preorder traversal of a tree.,"February 13, 2012"
29,"Given two (huge) sets, what is an efficient way to find their intersection?","April 5, 2010"
30,"SQL question: 1 table with player_id, log in date, and 2 other fields and was asked to calculate first day retention rate. First day retention rate is defined as the player who log in the 2nd straight day, after the first ever time they log into game.","May 8, 2021"
31,"Given a random array with integers, find every pair that sum up to a certain number.","February 28, 2012"
32,Given two arrays find all the points of intersection between the (i.e. equal elements) and return them in an array.,"July 9, 2011"
33,tell me how you have spent time learning new things to help you in your current or past positions,"April 6, 2020"
34,How would you test if a binary tree were symmetrical and balanced.,"March 17, 2011"
35,I was given two lists of integers and number. The question is to write a function which returns true if the are two numbers in the array such that their sum in the number given.,"June 1, 2016"
36,Which sorting algorithm would be good for sorting small-sized integer arrays and why? What is the performance? What about for large-sized integer arrays?,"January 24, 2012"
37,"Describing a full redundant, resilient, multi region servers (no point of failure, live 24/7) dns, load balancers, firewalls, applications servers, and Databases.","May 29, 2016"
38,"difference between ""hashing a string"" and ""encrypting a string"". Then: is it possible to find two elements for which the hash is the same?","February 23, 2011"
39,design api for cache management,"December 23, 2011"
40,"1) Debug some code and take logic test 2) Perform coding challenge 3) Show general knowledge of software development, code something, talk about interests","February 23, 2017"
41,What is one life crisis you have faced?,"March 8, 2020"
42,Explain how you would design and implement a asking algorithm using Java.,"January 24, 2012"
43,"Name a time where you made a mistake, and how did you fix it?","January 10, 2017"
44,"How to find the unique integer in an array, where all the other numbers appear twice.","March 23, 2010"
45,write a function that takes in an int and returns a string that would be how one would say that number (ex: 123 -&gt; one hundred twenty three; 50019 -&gt; five thousand nineteen).,"April 1, 2014"
46,Find depth of a binary tree,"March 1, 2011"
47,"Given a list of points in 2D and a single reference point, find k nearest neighbors. No code required (iirc).","June 25, 2012"
48,"Given an array with numbers 1-5, how would you subtract one number from each index?","January 9, 2019"
49,"Various ""behavioral"" and coding challenges.","April 19, 2020"
